stock_code,root_name,bucket,source_w,source_h,source_mode,normalized_path,upload_ok,partial_alpha_pct,fully_transparent_pct,fully_opaque_pct,remove_bg_latency_s,action_required,error
001ABL010002,Bedroom Supplies,B,800,800,RGBA,001ABL010002.webp,True,1.92,73.67,24.41,,PIL-normalized — auto-approve unless visual QA flags.,
001ABL010004,Bedroom Supplies,D,1772,1266,RGB,001ABL010004.webp,True,0.95,60.6,38.45,0.69,AI-matted via remove.bg — visual QA recommended.,
001ABL010005,Bedroom Supplies,B,500,500,RGBA,001ABL010005.webp,True,1.96,82.92,15.11,,PIL-normalized — auto-approve unless visual QA flags.,
001ABL010007,Bedroom Supplies,B,800,800,RGBA,001ABL010007.webp,True,2.24,54.82,42.94,,PIL-normalized — auto-approve unless visual QA flags.,
001ABL010008,Bedroom Supplies,B,800,800,RGBA,001ABL010008.webp,True,3.78,88.88,7.35,,PIL-normalized — auto-approve unless visual QA flags.,
001ABL010009,Bedroom Supplies,B,800,800,RGBA,001ABL010009.webp,True,3.34,75.62,21.04,,PIL-normalized — auto-approve unless visual QA flags.,
001ABL010010,Bedroom Supplies,B,800,800,RGBA,001ABL010010.webp,True,3.92,58.78,37.3,,PIL-normalized — auto-approve unless visual QA flags.,
001ABL010012,Bedroom Supplies,B,800,800,RGBA,001ABL010012.webp,True,3.18,68.83,27.99,,PIL-normalized — auto-approve unless visual QA flags.,
001ABL010013,Bedroom Supplies,B,800,800,RGBA,001ABL010013.webp,True,2.19,74.37,23.44,,PIL-normalized — auto-approve unless visual QA flags.,
001ABL010014,Bedroom Supplies,B,800,800,RGBA,001ABL010014.webp,True,1.69,71.44,26.88,,PIL-normalized — auto-approve unless visual QA flags.,
112BQE010006,Buffet & Banquet,B,600,600,RGBA,112BQE010006.webp,True,3.55,88.0,8.45,,PIL-normalized — auto-approve unless visual QA flags.,
112BQE010002,Buffet & Banquet,B,600,600,RGBA,112BQE010002.webp,True,1.13,68.07,30.8,,PIL-normalized — auto-approve unless visual QA flags.,
009BQE010001,Buffet & Banquet,B,600,600,RGBA,009BQE010001.webp,True,2.07,89.76,8.18,,PIL-normalized — auto-approve unless visual QA flags.,
009BQE010002,Buffet & Banquet,B,600,600,RGBA,009BQE010002.webp,True,2.1,89.76,8.14,,PIL-normalized — auto-approve unless visual QA flags.,
009BQE010003,Buffet & Banquet,B,600,600,RGBA,009BQE010003.webp,True,2.07,89.74,8.19,,PIL-normalized — auto-approve unless visual QA flags.,
009BQE010006,Buffet & Banquet,B,800,800,RGBA,009BQE010006.webp,True,1.43,93.68,4.88,,PIL-normalized — auto-approve unless visual QA flags.,
009BQE010010,Buffet & Banquet,B,600,600,RGBA,009BQE010010.webp,True,1.57,93.64,4.79,,PIL-normalized — auto-approve unless visual QA flags.,
009BQE010014,Buffet & Banquet,B,600,600,RGBA,009BQE010014.webp,True,2.22,89.71,8.07,,PIL-normalized — auto-approve unless visual QA flags.,
009BQE030001,Buffet & Banquet,B,800,800,RGBA,009BQE030001.webp,True,1.85,88.85,9.3,,PIL-normalized — auto-approve unless visual QA flags.,
043TWD060003,Buffet & Banquet,B,800,800,RGBA,043TWD060003.webp,True,2.1,92.6,5.3,,PIL-normalized — auto-approve unless visual QA flags.,
138FBS040003,F & B Solutions,B,1087,1055,RGBA,138FBS040003.webp,True,0.83,65.74,33.43,,PIL-normalized — auto-approve unless visual QA flags.,
126FBS070010,F & B Solutions,B,500,500,RGBA,126FBS070010.webp,True,1.43,66.68,31.89,,PIL-normalized — auto-approve unless visual QA flags.,
126FBS070013,F & B Solutions,C,435,375,RGBA,,,,,,,Source below 500px floor — Lucide fallback at render time. Replace source if branded image needed.,
126FBS070015,F & B Solutions,C,435,375,RGBA,,,,,,,Source below 500px floor — Lucide fallback at render time. Replace source if branded image needed.,
128FBS021005-1,F & B Solutions,B,1080,1080,RGBA,128FBS021005-1.webp,True,1.08,47.6,51.32,,PIL-normalized — auto-approve unless visual QA flags.,
128FBS021006,F & B Solutions,B,800,800,RGBA,128FBS021006.webp,True,2.13,47.75,50.12,,PIL-normalized — auto-approve unless visual QA flags.,
128FBS021011-1,F & B Solutions,B,800,800,RGBA,128FBS021011-1.webp,True,1.18,62.34,36.48,,PIL-normalized — auto-approve unless visual QA flags.,
128FBS021012-1,F & B Solutions,C,400,360,P,,,,,,,Source below 500px floor — Lucide fallback at render time. Replace source if branded image needed.,
128FBS021015,F & B Solutions,B,1000,1000,RGBA,128FBS021015.webp,True,0.98,53.15,45.87,,PIL-normalized — auto-approve unless visual QA flags.,
128FBS021016,F & B Solutions,B,800,800,P,128FBS021016.webp,True,1.38,51.35,47.27,,PIL-normalized — auto-approve unless visual QA flags.,
007FSR050002,Food Services,B,800,800,RGBA,007FSR050002.webp,True,1.79,55.53,42.68,,PIL-normalized — auto-approve unless visual QA flags.,
007FSR050003,Food Services,B,800,800,RGBA,007FSR050003.webp,True,1.82,55.55,42.63,,PIL-normalized — auto-approve unless visual QA flags.,
007FSR040001,Food Services,B,800,800,RGBA,007FSR040001.webp,True,1.34,77.13,21.53,,PIL-normalized — auto-approve unless visual QA flags.,
011FSR010001,Food Services,B,800,800,RGBA,011FSR010001.webp,True,1.62,50.94,47.44,,PIL-normalized — auto-approve unless visual QA flags.,
011FSR010002,Food Services,B,800,800,RGBA,011FSR010002.webp,True,1.23,56.23,42.55,,PIL-normalized — auto-approve unless visual QA flags.,
011FSR040001,Food Services,B,800,800,RGBA,011FSR040001.webp,True,1.46,66.11,32.43,,PIL-normalized — auto-approve unless visual QA flags.,
011FSR040002,Food Services,B,800,800,RGBA,011FSR040002.webp,True,1.6,63.73,34.68,,PIL-normalized — auto-approve unless visual QA flags.,
011FSR040003,Food Services,B,800,800,RGBA,011FSR040003.webp,True,1.67,67.47,30.86,,PIL-normalized — auto-approve unless visual QA flags.,
011FSR040018,Food Services,B,800,800,RGBA,011FSR040018.webp,True,1.55,58.84,39.61,,PIL-normalized — auto-approve unless visual QA flags.,
011FSR040019,Food Services,B,800,800,RGBA,011FSR040019.webp,True,1.46,68.55,29.99,,PIL-normalized — auto-approve unless visual QA flags.,
112HKG030023,Housekeeping Supplies,B,800,800,RGBA,112HKG030023.webp,True,1.18,89.44,9.37,,PIL-normalized — auto-approve unless visual QA flags.,
112HKG030026,Housekeeping Supplies,B,800,800,RGBA,112HKG030026.webp,True,1.54,80.09,18.36,,PIL-normalized — auto-approve unless visual QA flags.,
